grid_id,area_name,latitude,longitude,population_density,avg_income,avg_bill_per_person,restaurant_star_rating,review_count,avg_review_score,same_cuisine_competitors_1km,other_cuisine_competitors_1km,office_density,nightlife_density,mall_proximity,college_proximity,parking_availability,public_transport_connectivity,restaurant_type,restaurant_style,location_score,lat_idx,lon_idx,grid_cell_id
G0022,Koramangala,12.939304157742924,77.6295645488639,15069,58908.0,213.0,3.5,4,3.43,22,56,63,66,6.81,1.54,7.9,5,BBQ,Bar/Pub,3.162902584755269e-07,26,21,26_21
G0023,Koramangala,12.931498805390476,77.61715441776457,16202,48041.0,764.0,3.76,201,3.68,31,39,76,91,2.1,3.58,75.62,7,Continental,Casual Dining,3.614943454443978e-07,24,18,24_18
G0024,Koramangala,12.943388213639288,77.61634489572177,12039,121400.0,1172.0,4.09,125,4.41,30,39,53,120,6.93,3.25,42.38,3,Seafood,Food Truck,1.9445182681814288e-07,27,18,27_18
G0025,Koramangala,12.93106755253215,77.61510261320186,21165,147210.0,2027.0,3.89,342,3.67,17,42,90,63,4.37,3.5,46.64,5,Chinese,Food Court,3.201031868322909e-07,24,18,24_18
G0026,Koramangala,12.941351993799882,77.62296701359746,20154,158579.0,4931.0,4.85,0,4.54,37,43,48,58,5.07,2.17,59.67,5,South Indian,Bar/Pub,3.930184224815266e-07,26,20,26_20
G0027,Koramangala,12.945441005150892,77.63731195724795,12888,47189.0,1009.0,4.13,73,4.49,30,71,84,56,5.23,2.99,68.57,10,Cafe,Food Truck,2.2217145366270197e-07,27,23,27_23
G0028,Koramangala,12.925147183266498,77.6193789711774,14759,173734.0,3929.0,3.15,387,3.24,22,65,53,61,3.7,1.82,76.89,5,Japanese,Quick Service,4.4651671036849944e-07,23,19,23_19
G0029,Koramangala,12.942692721236613,77.63009597450687,16320,162183.0,4921.0,3.97,19,4.05,31,57,108,84,2.65,0.51,21.65,9,Thai,Quick Service,1.725328013839322e-06,27,21,27_21
G0030,Koramangala,12.931749754042682,77.63400528682337,19990,100028.0,2034.0,3.92,321,4.29,29,68,73,68,3.69,3.75,68.29,4,Fast Food,Fine Dining,2.8265833770535845e-07,24,22,24_22
G0031,Koramangala,12.9460887675877,77.63406823696417,20224,93974.0,4939.0,4.08,109,4.02,18,79,82,105,3.97,1.63,8.57,7,Continental,Food Court,5.008747728568495e-07,27,22,27_22
G0032,Koramangala,12.946644683709987,77.61521718226555,20430,129358.0,1004.0,4.34,243,4.29,26,38,16,19,5.54,2.84,44.21,8,Italian,Casual Dining,2.826684884577946e-07,28,18,28_18
G0033,Koramangala,12.925503963223557,77.62584045841237,17706,105879.0,2025.0,3.91,0,3.97,27,68,156,120,6.52,0.8,83.84,6,Continental,Food Court,8.885031833829585e-07,23,20,23_20
G0034,Koramangala,12.932831362895808,77.62955105705498,14702,107186.0,5810.0,3.5,167,3.52,19,67,0,85,3.05,1.33,29.67,4,Bakery,Food Truck,5.576604001850203e-07,25,21,25_21
G0035,Koramangala,12.937064569411763,77.6143499616898,14379,82238.0,4824.0,3.79,153,3.58,21,33,26,103,3.2,0.83,49.74,6,North Indian,Food Truck,8.922930121468997e-07,25,18,25_18
G0036,Koramangala,12.927493123931544,77.63265892354543,15899,100656.0,3802.0,4.88,128,5.0,22,54,0,57,2.99,0.88,59.62,8,Biryani,Cafe/Bistro,8.892580043789626e-07,23,22,23_22
G0037,Koramangala,12.937986414618036,77.63394898087108,17605,53112.0,2018.0,4.32,278,4.24,21,34,0,82,2.94,0.39,48.44,3,Chinese,Food Court,2.5596507338154807e-06,26,22,26_22
G0038,Koramangala,12.931451884310464,77.63538156550949,20723,52500.0,5053.0,3.77,41,3.51,25,44,98,97,3.2,2.61,65.16,8,Seafood,Quick Service,3.9754638830651627e-07,24,22,24_22
G0039,Koramangala,12.92528716426991,77.612100297659,20933,83906.0,2068.0,4.56,171,4.48,21,54,9,107,3.78,5.72,16.53,9,Bakery,Casual Dining,2.6346273909598645e-07,23,17,23_17
G0040,Koramangala,12.945788483787748,77.61941242487292,18904,146263.0,2330.0,4.09,305,4.09,17,64,35,73,3.46,2.0,39.71,8,BBQ,Fine Dining,4.64530292988672e-07,27,19,27_19
G0041,Koramangala,12.936260886253532,77.61945174567165,19520,138176.0,1983.0,3.76,300,3.38,27,64,61,79,3.16,3.15,56.56,10,Seafood,Family Style,3.655100673052704e-07,25,19,25_19
G0042,Koramangala,12.944027657312157,77.61270883334112,15543,174441.0,2941.0,4.42,147,4.47,15,46,23,79,3.43,3.23,56.96,2,Japanese,Food Court,3.538446129236867e-07,27,17,27_17
G0043,Koramangala,12.929173853674056,77.63823634302385,20919,73297.0,2997.0,3.54,354,3.52,13,40,118,88,2.43,0.48,40.31,8,Chinese,Food Truck,1.9130257556878586e-06,24,23,24_23
G0044,Koramangala,12.92551961025416,77.63382803117037,18694,161757.0,3117.0,3.48,379,3.82,27,72,99,105,4.5,1.08,30.83,7,Bakery,Food Court,6.890643414939714e-07,23,22,23_22
G0045,Koramangala,12.935357341319571,77.63701135156016,21765,136929.0,1252.0,3.7,197,3.66,23,85,80,68,6.67,4.44,23.68,6,Biryani,Food Truck,1.9891433327265413e-07,25,23,25_23
G0046,Koramangala,12.937937698268591,77.63599384864644,17221,94205.0,2537.0,4.28,101,4.2,22,26,17,50,2.61,0.33,28.91,5,Seafood,Quick Service,3.70053677220298e-06,26,22,26_22
G0047,Koramangala,12.923030149127529,77.6273205962729,19365,175651.0,1704.0,3.42,126,3.33,17,41,11,78,6.6,0.72,37.45,3,Italian,Fine Dining,9.674582038264792e-07,22,21,22_21
G0048,Koramangala,12.924964165163791,77.62551726510507,17166,174513.0,711.0,4.45,180,4.33,20,23,29,89,1.72,3.33,47.32,6,Mexican,Food Truck,5.282357471812035e-07,23,20,23_20
G0049,Koramangala,12.945216749572854,77.62432152640622,16242,169464.0,4065.0,3.74,331,3.93,29,73,91,66,4.63,1.99,15.66,4,Fast Food,Food Truck,3.778661580999406e-07,27,20,27_20
G0050,Koramangala,12.948599041676994,77.6110942209047,14296,92698.0,3285.0,4.63,230,4.83,32,66,4,60,2.46,3.66,73.08,2,Continental,Bar/Pub,3.203803558911156e-07,28,17,28_17
G0051,Koramangala,12.936634826971044,77.61645326493785,20675,86505.0,5570.0,3.22,126,2.82,24,40,86,78,3.11,0.37,32.16,6,Thai,Food Court,2.8657382702886058e-06,25,18,25_18
G0052,Koramangala,12.924383260505245,77.638384530845,18774,141856.0,537.0,4.08,239,4.05,29,62,5,41,4.04,2.6,61.89,5,Fast Food,Fine Dining,3.0504541897042113e-07,23,23,23_23
G0053,Koramangala,12.94641235960948,77.63165441398333,19962,50826.0,360.0,4.51,314,4.74,26,63,87,54,4.15,0.63,41.93,4,Italian,Food Truck,1.1703594834039796e-06,28,22,28_22
G0054,Koramangala,12.94100814418489,77.61798241570446,16120,167380.0,5557.0,3.65,0,3.82,30,27,120,86,3.97,4.29,9.23,5,Cafe,Fine Dining,2.756287108922293e-07,26,19,26_19
G0055,Koramangala,12.94021398499258,77.62683123313954,15442,146782.0,4691.0,3.97,191,3.88,16,61,97,79,2.95,0.2,44.08,5,Continental,Cafe/Bistro,50.000000248945,26,20,26_20
G0056,Koramangala,12.92957915293849,77.63402041272917,16260,59915.0,3944.0,3.38,307,3.42,32,27,94,98,5.82,0.2,65.06,7,North Indian,Family Style,50.00000009914031,24,22,24_22
G0057,Koramangala,12.93241696683608,77.61894682346953,15011,173153.0,4086.0,3.82,298,4.04,12,35,116,49,2.99,0.68,30.92,7,Italian,Food Truck,1.2055730564210095e-06,24,19,24_19
G0058,Koramangala,12.929796240615154,77.61256997439531,19628,126236.0,5292.0,3.96,144,4.11,31,51,16,80,5.27,3.96,30.29,6,North Indian,Food Truck,2.449212947642711e-07,24,17,24_17
G0059,Koramangala,12.943939784583964,77.62527949753232,21982,105701.0,1821.0,4.53,223,4.43,17,74,70,69,4.35,2.52,61.64,4,Mexican,Cafe/Bistro,3.7237965297437954e-07,27,20,27_20
G0060,Koramangala,12.936228387197866,77.6340772400623,19538,74060.0,2528.0,3.54,334,3.78,36,42,58,101,3.85,1.13,35.48,1,North Indian,Casual Dining,5.796297247671669e-07,25,22,25_22
G0061,Koramangala,12.921822011798715,77.63708866967376,17535,51994.0,3732.0,4.01,229,4.09,25,72,51,47,3.94,2.02,71.31,6,Mexican,Casual Dining,3.706731581860693e-07,22,23,22_23
G0062,Koramangala,12.949732803468873,77.61140923132574,12562,123580.0,1729.0,3.75,216,3.63,18,51,99,80,2.03,2.64,41.34,6,South Indian,Quick Service,4.525833653894044e-07,28,17,28_17
G0063,Koramangala,12.934484110527949,77.62929229208977,16615,149849.0,353.0,4.69,240,4.4,23,74,50,44,2.77,2.48,22.71,7,North Indian,Casual Dining,3.9994359756939984e-07,25,21,25_21
G0064,Koramangala,12.936929648166476,77.61446921508679,18514,99768.0,1035.0,3.18,288,3.36,29,86,106,112,4.35,1.63,52.45,6,South Indian,Casual Dining,4.2647092112486593e-07,25,18,25_18
G0065,Koramangala,12.933505699732288,77.62874574632228,17104,147276.0,4427.0,3.93,169,3.82,19,38,65,81,4.32,3.11,64.41,4,Mexican,Family Style,3.344871568362063e-07,25,21,25_21
G0066,Koramangala,12.930367083619933,77.61011771358602,16780,159362.0,966.0,3.05,269,3.17,24,41,13,78,6.83,0.26,53.0,8,Thai,Casual Dining,7.681869354354767e-06,24,17,24_17
G0067,Koramangala,12.943195605640277,77.63902593600965,13438,61871.0,3570.0,3.96,245,3.85,14,59,108,50,1.38,3.81,36.16,5,South Indian,Food Court,5.249322104925592e-07,27,23,27_23
G0068,Koramangala,12.924953651277807,77.63430592863762,16864,47085.0,2658.0,3.73,391,3.8,26,29,82,80,4.58,0.56,16.58,6,Continental,Fine Dining,1.3522809087956966e-06,23,22,23_22
G0069,Koramangala,12.933149525446453,77.63363019383524,19469,137696.0,5324.0,4.54,358,4.75,12,57,0,71,4.84,1.46,64.73,6,South Indian,Cafe/Bistro,5.797225380110662e-07,25,22,25_22
G0070,Koramangala,12.929242821470172,77.61003422328437,17927,176867.0,361.0,3.43,223,3.25,27,28,0,71,0.33,0.37,91.17,5,South Indian,Cafe/Bistro,6.465400675730264e-06,24,17,24_17
G0071,Koramangala,12.927007724158065,77.61967267011593,16140,115196.0,4020.0,3.15,80,3.33,15,78,48,66,2.86,0.82,73.57,5,Chinese,Casual Dining,9.23077826514688e-07,23,19,23_19
G0072,Koramangala,12.936095415711607,77.63273672339037,20949,127297.0,3411.0,4.24,173,4.11,29,44,50,101,5.12,1.75,30.57,9,Japanese,Casual Dining,4.601625620590333e-07,25,22,25_22
G0073,Koramangala,12.949805003630084,77.62157437667473,12771,107368.0,3138.0,4.41,330,4.53,13,68,110,93,6.06,2.01,53.81,8,Bakery,Quick Service,4.032610241310048e-07,28,19,28_19
G0074,Koramangala,12.94968840454636,77.62742507484356,13831,98324.0,3378.0,3.72,151,3.75,14,30,67,44,4.93,0.82,17.28,6,Bakery,Bar/Pub,8.237153322456391e-07,28,21,28_21
G0075,Koramangala,12.940604509758872,77.6113507282629,12195,54972.0,4344.0,3.77,129,3.82,26,58,47,109,6.96,0.51,25.22,7,Chinese,Food Truck,1.5046575529737183e-06,26,17,26_17
G0076,Koramangala,12.938718475885985,77.6197549066441,20828,176355.0,5887.0,3.59,51,3.58,22,47,89,76,4.78,1.69,57.22,3,Continental,Family Style,4.92143148711418e-07,26,19,26_19
G0077,Koramangala,12.941555396800718,77.6133149994943,12931,124893.0,4828.0,3.77,275,3.49,31,21,127,77,3.94,3.94,57.56,7,Continental,Bar/Pub,2.8017512783204726e-07,26,18,26_18
G0078,Koramangala,12.94786530496503,77.61987559604263,18697,87234.0,831.0,3.34,73,3.01,9,28,10,74,6.65,2.6,44.38,4,Cafe,Family Style,2.3941004225973703e-07,28,19,28_19
G0079,Koramangala,12.946447070091478,77.62224425518039,13913,162002.0,5833.0,3.79,177,3.85,22,47,53,98,6.03,0.2,69.64,5,Japanese,Family Style,50.00000015953181,28,19,28_19
G0080,Koramangala,12.949730914239373,77.62925530308128,21563,150606.0,1555.0,3.96,111,3.91,30,54,100,91,5.41,3.31,93.53,8,Biryani,Cafe/Bistro,3.249012419151479e-07,28,21,28_21
G0081,Koramangala,12.943262558575867,77.63485517489823,12319,62048.0,1199.0,3.78,219,3.99,28,22,26,49,3.04,0.86,40.2,5,BBQ,Casual Dining,7.79480857420426e-07,27,22,27_22
G0082,Koramangala,12.94828822273436,77.62901216195672,20641,81133.0,3415.0,3.7,9,3.87,31,43,51,88,3.96,0.59,14.01,8,Biryani,Fine Dining,1.2961992798921199e-06,28,21,28_21
G0083,Koramangala,12.94055493029258,77.62141642771263,18428,103828.0,1123.0,4.22,253,4.23,13,80,35,79,3.26,2.96,61.78,7,Seafood,Family Style,3.6581890901673117e-07,26,19,26_19
G0084,Koramangala,12.941044968355524,77.61700844768022,14493,73232.0,4221.0,3.82,171,4.2,28,38,17,64,2.32,2.91,36.64,8,Italian,Casual Dining,3.76568256066943e-07,26,18,26_18
G0085,Koramangala,12.938682805094729,77.63925339958138,12116,130154.0,2188.0,3.99,47,3.99,21,29,32,70,3.14,0.58,62.2,4,Fast Food,Food Truck,1.3524938426770771e-06,26,23,26_23
G0086,Koramangala,12.922278037257492,77.63939454478292,17200,49515.0,5952.0,3.78,44,3.69,19,41,92,66,5.25,3.85,23.17,5,South Indian,Casual Dining,2.1714371250518865e-07,22,23,22_23
G0087,Koramangala,12.93734253490995,77.63869478552118,14081,171803.0,2146.0,3.47,299,3.28,14,54,142,57,2.97,4.01,49.49,8,Chinese,Bar/Pub,3.481976365938786e-07,26,23,26_23
G0088,Koramangala,12.926823629442596,77.625790330754,18688,73362.0,4314.0,4.81,222,4.68,36,46,120,120,3.45,0.2,12.33,5,Japanese,Fine Dining,50.00000019887021,23,20,23_20
G0089,Koramangala,12.94492867524302,77.61330336220031,12030,147500.0,1921.0,4.38,236,4.32,16,63,50,53,2.69,0.2,58.21,5,BBQ,Fine Dining,50.00000022570361,27,18,27_18
G0090,Koramangala,12.92994804102164,77.63702053089027,18042,149296.0,1797.0,3.69,75,3.94,23,53,91,94,6.85,2.56,54.0,6,Seafood,Bar/Pub,3.087626941143418e-07,24,23,24_23
G0091,Koramangala,12.93042314976711,77.63844684603414,19181,105462.0,1114.0,4.5,0,4.74,17,26,48,49,6.91,0.81,20.13,6,Cafe,Cafe/Bistro,8.41175273263706e-07,24,23,24_23
G0092,Koramangala,12.926249198749924,77.63101726383485,15542,138960.0,382.0,3.73,301,3.74,19,23,67,91,4.0,0.2,33.19,7,Seafood,Food Truck,50.00000016333907,23,21,23_21
G0093,Koramangala,12.9321219564336,77.63916663872305,20614,165648.0,4210.0,4.18,283,4.0,16,67,62,91,5.23,3.91,46.26,8,Fast Food,Casual Dining,3.356768992056424e-07,24,23,24_23
G0094,Koramangala,12.920700877688214,77.62236294653124,12343,72557.0,571.0,3.93,132,3.82,16,65,68,74,2.63,3.32,37.96,5,Thai,Food Court,2.9414022433505874e-07,22,19,22_19
G0095,Koramangala,12.945919077591562,77.62013845246159,21968,136360.0,1315.0,4.61,70,4.7,31,54,82,94,3.27,3.24,26.88,3,Fast Food,Bar/Pub,3.451444408515443e-07,27,19,27_19
G0096,Koramangala,12.925978470319048,77.61743227811722,18335,59996.0,4228.0,3.45,0,3.38,28,48,24,82,3.77,1.62,6.86,7,BBQ,Family Style,4.091803358335205e-07,23,18,23_18
G0097,Koramangala,12.922568639910091,77.61221091636094,14296,95475.0,3696.0,4.4,168,4.24,26,60,116,93,5.54,3.66,19.62,7,Chinese,Casual Dining,2.4017961987451606e-07,22,17,22_17
G0098,Koramangala,12.947683299746611,77.63218466428123,16799,108306.0,5259.0,4.62,96,4.82,26,64,21,93,2.8,1.09,2.86,7,Biryani,Fine Dining,7.310650189267961e-07,28,22,28_22
G0099,Koramangala,12.927630822594294,77.61556172082881,12471,125760.0,1887.0,3.27,222,3.03,13,56,3,68,2.66,0.2,41.91,6,Bakery,Bar/Pub,50.00000017406013,23,18,23_18
G0100,Koramangala,12.92004531669286,77.63120831892012,19859,134465.0,4862.0,4.04,397,4.14,21,40,56,85,2.03,0.9,54.15,8,Mexican,Quick Service,1.020395420138177e-06,22,21,22_21
G0101,Koramangala,12.92413899969038,77.6356017317622,18654,132441.0,1222.0,3.96,242,4.12,18,82,9,8,5.38,2.98,41.96,4,Cafe,Quick Service,2.3501173365438412e-07,23,22,23_22
G0102,Koramangala,12.936045921366246,77.61215598029523,17526,97510.0,360.0,4.44,234,4.19,24,21,79,87,6.49,0.2,64.82,5,Continental,Bar/Pub,50.00000011709964,25,17,25_17
G0103,Koramangala,12.921304042945437,77.63850988704411,20147,179719.0,1785.0,4.08,94,3.92,25,57,0,120,4.31,2.87,31.27,6,Continental,Quick Service,3.398327667134801e-07,22,23,22_23
G0104,Koramangala,12.92151382852907,77.63952690234439,16779,154055.0,2314.0,3.72,297,3.7,21,68,53,61,4.01,2.23,44.69,6,North Indian,Cafe/Bistro,3.724237301790798e-07,22,23,22_23
G0105,Koramangala,12.948855907047308,77.61671778607352,15092,173909.0,2526.0,4.33,206,4.46,26,59,60,78,3.63,0.2,54.38,6,Italian,Cafe/Bistro,50.00000020546695,28,18,28_18
G0106,Koramangala,12.948929262676122,77.61246824298813,16920,179641.0,3982.0,3.93,199,4.19,27,54,43,44,7.82,1.94,18.34,5,Italian,Food Court,3.4550044498901884e-07,28,17,28_17
G0107,Koramangala,12.92776124497926,77.62821089496464,19030,78799.0,5601.0,3.97,424,3.89,21,45,49,80,0.28,1.71,61.83,8,Fast Food,Quick Service,6.493922679978019e-06,23,21,23_21
G0108,Koramangala,12.932983798726136,77.6347432568438,17980,179845.0,1176.0,4.71,93,4.77,19,72,0,89,4.15,0.35,37.91,5,Chinese,Bar/Pub,3.219995936932283e-06,25,22,25_22
G0109,Koramangala,12.933856350809313,77.6195366648602,15703,129283.0,368.0,4.13,276,4.06,19,41,95,72,3.85,2.54,44.54,7,BBQ,Bar/Pub,3.577062269919155e-07,25,19,25_19
G0110,Koramangala,12.930489133906198,77.63996471346799,14625,89457.0,5504.0,3.47,387,3.4,8,50,0,74,6.18,3.07,33.25,2,North Indian,Quick Service,2.3048012224777307e-07,24,23,24_23
G0111,Koramangala,12.932501338112257,77.62748104531074,20598,160288.0,3344.0,4.36,196,4.37,11,67,37,41,3.36,2.96,47.88,6,Japanese,Fine Dining,4.0508257648814233e-07,24,21,24_21
G0112,Koramangala,12.939901399637476,77.63847716305203,16972,116471.0,3862.0,4.15,463,4.09,13,47,154,100,6.42,1.19,61.42,6,Italian,Food Truck,6.477736452771256e-07,26,23,26_23
G0113,Koramangala,12.942676802454246,77.61681925873876,18544,102221.0,5018.0,4.34,94,4.28,23,59,34,98,3.98,1.2,32.27,4,Chinese,Fine Dining,6.16900813022209e-07,27,18,27_18
G0114,Koramangala,12.933531969191726,77.6131382602505,12287,62001.0,2563.0,4.03,282,3.98,17,28,31,40,5.29,2.39,42.81,5,Mexican,Quick Service,2.5943255559763166e-07,25,17,25_17
G0115,Koramangala,12.92178032215078,77.61942728934075,14815,147714.0,4598.0,4.56,378,4.43,25,53,61,69,1.29,0.2,36.64,6,Chinese,Casual Dining,50.000000516743434,22,19,22_19
G0116,Koramangala,12.930940829718065,77.6343278404282,12878,156227.0,1863.0,3.83,306,3.84,37,50,112,79,3.99,0.2,32.23,9,Chinese,Cafe/Bistro,50.000000145159795,24,22,24_22
G0117,Koramangala,12.941635523295524,77.63380770535076,17662,63685.0,5918.0,3.13,267,3.09,16,51,150,109,5.23,2.48,54.61,8,North Indian,Food Truck,3.5677970837138964e-07,26,22,26_22
G0118,Koramangala,12.929601418813172,77.63296496117555,17503,61300.0,1787.0,3.82,53,3.53,28,61,95,73,5.87,3.57,12.87,6,Seafood,Quick Service,1.6739746606582796e-07,24,22,24_22
G0119,Koramangala,12.921117019551298,77.62720779072357,18119,138200.0,1059.0,4.15,188,3.87,23,42,84,76,3.34,4.85,0.0,2,Japanese,Food Court,2.4112231088928554e-07,22,21,22_21
G0120,Koramangala,12.9292014918138,77.62447901458687,20791,74603.0,2191.0,4.21,198,3.97,37,18,112,90,4.12,2.34,38.86,4,Seafood,Food Truck,3.402920419230906e-07,24,20,24_20
G0121,Koramangala,12.940356158792682,77.61476298339728,16782,51103.0,3159.0,3.31,206,3.26,24,68,73,89,4.77,3.55,27.68,7,Fast Food,Fine Dining,2.0320265618911058e-07,26,18,26_18
G0122,Koramangala,12.94597470517911,77.61040119525065,13089,154352.0,2522.0,3.08,152,3.28,30,53,63,83,1.62,1.21,48.1,6,Chinese,Food Court,7.684728101483045e-07,27,17,27_17
G0123,Koramangala,12.945358580095151,77.63115043501935,21813,132340.0,2088.0,3.79,409,3.71,21,55,0,101,3.33,1.44,10.94,9,Chinese,Quick Service,5.726087098271969e-07,27,21,27_21
G0124,Koramangala,12.930763801147682,77.634689835887,15504,130134.0,4465.0,5.0,168,4.96,20,44,38,69,4.1,4.22,34.0,5,Chinese,Casual Dining,2.956374190914098e-07,24,22,24_22
G0125,Koramangala,12.924745835371189,77.6105967751983,20800,130033.0,924.0,3.86,75,3.62,36,66,68,89,5.66,0.33,89.96,5,Cafe,Cafe/Bistro,3.6129409430737064e-06,23,17,23_17
G0126,Koramangala,12.928684561959903,77.63506403532679,21957,175191.0,4774.0,4.46,370,4.42,23,44,50,93,4.94,1.97,18.08,4,Biryani,Fine Dining,4.632960187716801e-07,24,22,24_22
G0127,Koramangala,12.94001864785193,77.61345268093196,14947,107674.0,4476.0,4.03,204,4.03,20,88,65,106,0.2,2.26,32.55,3,North Indian,Food Truck,50.00000024203296,26,18,26_18
G0128,Koramangala,12.92813578807413,77.62829677879672,17186,93047.0,3957.0,2.96,139,2.86,33,34,57,54,3.44,3.11,50.1,5,Bakery,Cafe/Bistro,2.5388417406473025e-07,23,21,23_21
G0129,Koramangala,12.92586189093016,77.63356519199299,18224,51907.0,5624.0,3.83,98,3.62,14,66,0,69,2.43,3.92,48.19,8,Chinese,Casual Dining,3.5543735512085127e-07,23,22,23_22
G0130,Koramangala,12.936372117441609,77.6133201009312,17175,65726.0,5228.0,4.41,223,4.6,19,39,70,83,4.45,2.74,31.74,4,Italian,Quick Service,3.2862153468434216e-07,25,18,25_18
G0131,Koramangala,12.923117474722646,77.6259504394695,17302,83438.0,3974.0,4.43,134,4.14,47,60,122,48,2.87,3.66,34.57,6,Continental,Bar/Pub,2.8316874732718074e-07,22,20,22_20
G0132,Koramangala,12.923085054547602,77.63847903210367,18928,132300.0,2515.0,3.98,324,4.12,13,54,33,50,3.45,2.51,82.3,6,North Indian,Fine Dining,4.1367701155414816e-07,22,23,22_23
G0133,Koramangala,12.947760078777316,77.63976036754975,17557,56901.0,893.0,4.29,263,4.13,16,75,36,100,4.25,3.47,35.7,5,BBQ,Family Style,2.488688222422632e-07,28,23,28_23
G0134,Koramangala,12.938345515304428,77.63579146550101,18321,45377.0,221.0,3.87,95,3.51,21,38,86,21,4.29,3.04,51.62,8,Thai,Bar/Pub,2.389524629860488e-07,26,22,26_22
