Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Latitude,Longitude
Wow Chaats,"Street Food, Sandwich, Beverages",300," Kalyan Nagar, Bangalore",3.8,13.030986,77.653263
Shake Wake,"Beverages, Rolls, Sandwich",200," Marathahalli, Bangalore",3.8,12.948353,77.711723
Shabaab Rolls,"Rolls, Burger, Fast Food",250," Yelahanka, Bangalore",3.8,13.1036164,77.5756927
GVR Biryani Bistro,"Chinese, North Indian",300," Whitefield, Bangalore",3.8,12.98185298,77.76178066
Mr. Tadka,North Indian,300," CV Raman Nagar, Bangalore",3.8,12.99277292,77.66342741
Pick Natura,"Beverages, Juices",200," Marathahalli, Bangalore",3.8,12.96357535,77.70969585
Whatsup Lassi Park,"Beverages, Fast Food, Desserts",200," BTM, Bangalore",3.8,12.9108501,77.60993075
San-Diego Cream N Crunch,"Desserts, Ice Cream",250," Whitefield, Bangalore",3.8,12.99188039,77.72093598
The Samosa Estate,"Street Food, Fast Food, Lebanese",250," Marathahalli, Bangalore",3.8,12.95323083,77.69996278
Food Decker,"Fast Food, Desserts, Beverages",400," Koramangala 5th Block, Bangalore",3.8,12.93290225,77.61425916
Malli Mane Food Court,South Indian,250," BTM, Bangalore",3.8,12.91394521,77.61063684
Frozen Juices N Cafe House,"Fast Food, Beverages",200," Sarjapur Road, Bangalore",3.8,12.91304521,77.67971881
Coastal Aroma,"South Indian, Chinese, Mangalorean",350," Whitefield, Bangalore",3.8,12.98486879,77.73284264
Food Instinct,"Continental, Healthy Food, North Indian, Biryani",300," Indiranagar, Bangalore",3.8,12.98236545,77.63904417
The Farmer and The Chef,North Indian,450," Sarjapur Road, Bangalore",3.8,12.89276934,77.70816351
Belgian Swirls Fusion,"Desserts, Fast Food",300," Sarjapur Road, Bangalore",3.8,12.90757424,77.66371205
Kaapi Corner,South Indian,100," Banashankari, Bangalore",3.8,12.93869747,77.54896715
Sinclair's Barbeque,"Burger, Sandwich, Beverages, BBQ",500," Banaswadi, Bangalore",3.8,13.00628357,77.65136551
Bellandur Kerala Mess,"South Indian, Kerala, Biryani",200," Bellandur, Bangalore",3.8,12.9278026,77.67565358
Crunchy Kitchen,Chinese,400," Yelahanka, Bangalore",3.8,13.09633664,77.62616951
Hunger Buds,North Indian,250," BTM, Bangalore",3.8,12.91511906,77.61554025
Hunger Buds,North Indian,250," BTM, Bangalore",3.8,12.91511906,77.61554025
Raghavendra Bhavan,"South Indian, North Indian, Chinese",300," Banaswadi, Bangalore",3.8,13.00863987,77.65588738
Salkara Malabar Kitchen,"North Indian, Chinese",300," BTM, Bangalore",3.8,12.92515961,77.61164334
New Indian Biryani Restaurant,"North Indian, Chinese, Biryani",300," Indiranagar, Bangalore",3.8,12.97907,77.6417531
Sidhika Food Centre,"North Indian, Chinese",300," KR Puram, Bangalore",3.8,13.023585,77.707111
Blend Your Shake,"Beverages, Fast Food, Ice Cream",250," Sarjapur Road, Bangalore",3.8,12.9029171,77.6761386
Shiva's Naram Garam,"Street Food, Chinese, North Indian",250," Banaswadi, Bangalore",3.8,13.01937276,77.65346166
Soul Konnet,"Street Food, Fast Food",250," Malleshwaram, Bangalore",3.8,13.00666056,77.56397579
Ruchika Biriyani,South Indian,300," Whitefield, Bangalore",3.8,12.97782478,77.7086612
Spicy Paradise,"South Indian, North Indian, Chinese",200," Kadubeesanahalli, Bangalore",3.8,12.94070967,77.69600518
Anamika Bakery,Bakery,200," Sarjapur Road, Bangalore",3.8,12.90687553,77.69560017
Chef Sisters Kitchen,North Indian,200," Whitefield, Bangalore",3.8,12.915238,77.717574
New Andhra House,"Andhra, Biryani, North Indian",450," Electronic City, Bangalore",3.8,12.85022039,77.65729386
Tree Top,"Continental, Chinese, North Indian, South Indian",1000," Wilson Garden, Bangalore",3.8,12.94778459,77.5945466
Saara's Cafe - SS Lumina Hotel,"North Indian, South Indian, Chinese, Arabian",800," Koramangala 7th Block, Bangalore",3.8,12.93615915,77.61672344
Sizzling Szechuan,Chinese,600," Rammurthy Nagar, Bangalore",3.8,13.01533491,77.66666885
Coastal King Restaurant,"Seafood, North Indian, Chinese",900," Coastal King, Bangalore, Bangalore",3.8,13.04379933,77.52083816
Fish Factory-Citrus Hotel,Seafood,2600," Citrus Hotels, Cunningham Road, Bangalore",3.8,12.98631118,77.59550884
Dumont,"Ice Cream, Beverages, Desserts",300," Church Street, Bangalore",3.8,12.97328821,77.6033362
Garden Bar & Restaurant,"North Indian, Chinese",800," Yelahanka, Bangalore",3.8,13.08097596,77.59285346
Punjabi Chaap Corner,"North Indian, Chinese, Fast Food",650," Indiranagar, Bangalore",3.8,12.967453,77.641725
The Oriental Spice - Ashraya Hotel,Oriental,1300," Ashraya Hotel, Infantry Road, Bangalore",3.8,12.9837005,77.59366013
Cafe Treat - The Pride Hotel,"North Indian, South Indian, Mughlai, Continental, Chinese, Desserts, Beverages",900," The Pride Hotel, Bangalore",3.8,12.96465552,77.59971052
Bademiyan Kebabs,"Kebab, Hyderabadi, Biryani, Charcoal Chicken",600," Orion Mall, Malleshwaram, Bangalore",3.8,13.01164719,77.55526766
Pop Inn Restaurant,"North Indian, Odia, Bengali, Chinese, South Indian",250," Whitefield, Bangalore",3.8,12.9696545,77.7482562
Punjab Kadhai,"North Indian, Chinese",350," Kaggadasapura, Bangalore",3.8,12.99562689,77.68635996
Madhuban Restaurant,"North Indian, Chinese, Seafood",450," Marathahalli, Bangalore",3.8,12.94847044,77.70434786
Camille's Ice Cream,"Desserts, Beverages, Ice Cream",100," Domlur, Bangalore",3.8,12.95631593,77.64129885
Kakal Kai Ruchi,"South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages",500," JP Nagar, Bangalore",3.8,12.89722512,77.58597795
Grill & The Goat,"North Indian, Mughlai, Chinese, Beverages",600," Indiranagar, Bangalore",3.8,12.982293,77.639297
Slounge - Lemon Tree Hotel,Finger Food,1600," Lemon Tree Hotel, Whitefield, Bangalore",3.8,12.97254035,77.71785546
Mangoa,"Goan, Mangalorean, South Indian, Seafood, Portuguese, Konkan",800," BTM, Bangalore",3.8,12.9353096,77.6076666
Spice House,"Andhra, South Indian, Chinese",600," Banashankari, Bangalore",3.8,12.92636445,77.5645595
Sri Krishna Aramane,"South Indian, North Indian, Street Food, Chinese, Ice Cream, Desserts, Juices, Beverages",350," Kumaraswamy Layout, Bangalore",3.8,12.90571962,77.55824659
Alankrutha,"North Indian, Chinese, Biryani",550," BTM, Bangalore",3.8,12.913606,77.6128
Hongkong Garden,"Chinese, Thai, Seafood, Momos",500," Kaggadasapura, Bangalore",3.8,12.97459835,77.67879747
Twilight Global Restaurant,"Beverages, Kebab, Chinese, North Indian, Mughlai, Biryani, Desserts",800," Kalyan Nagar, Bangalore",3.8,13.02111972,77.64176153
Brown Burger Co,"Burger, Fast Food, Beverages",500," Rajarajeshwari Nagar, Bangalore",3.8,12.9056255,77.51256019
Aishwarya Parkland,"Chinese, North Indian",700," Bannerghatta Road, Bangalore",3.8,12.8845057,77.59615861
Fuel Resto Bar,"Finger Food, Mediterranean, North Indian, Beverages",2000," The Pride Hotel, Bangalore",3.8,12.96450881,77.59967297
KA 51 Restocafe,"Chinese, North Indian, Fast Food",600," Bommasandra, Bangalore",3.8,12.8305125,77.63955859
Shimla Mirch,"Sandwich, Fast Food, Italian, Biryani, North Indian, South Indian, Pizza",350," BTM, Bangalore",3.8,12.9254808,77.6105591
Swadist Pakhal Restaurant,"North Indian, Chinese, Bengali, Biryani",600," Sarjapur Road, Bangalore",3.8,12.90262311,77.7059089
The Lakefront Kitchen,"North Indian, Chinese, Mughlai",600," Electronic City, Bangalore",3.8,12.87463223,77.67864564
Golden Tree Restaurant,"Chinese, Mughlai, Biryani, South Indian, Fast Food, Beverages, Ice Cream",600," BTM, Bangalore",3.8,12.90620623,77.61129197
Lol Pub,"North Indian, Beverages",800," Kadubeesanahalli, Bangalore",3.8,12.94159944,77.69756455
Ashwa Fine Dine,"North Indian, Chinese, Andhra, Finger Food",400," Vijay Nagar, Bangalore",3.8,12.97131352,77.5249986
Manhattan,Finger Food,1700," Hotel Southern Star, Lavelle Road, Bangalore",3.8,12.97467382,77.59940509
Manhattan,Finger Food,1700," Hotel Southern Star, Lavelle Road, Bangalore",3.8,12.97467382,77.59940509
Paaro,"North Indian, Street Food, Chinese, South Indian, Beverages, Continental",400," Bannerghatta Road, Bangalore",3.8,12.88103371,77.5985954
Envy,Finger Food,1100," Hotel La Classic, Bangalore",3.8,12.7836371,77.75712971
Samavar,"North Indian, South Indian, Chinese, Continental, Italian",1000," Casa de Bengaluru, Koramangala, Bangalore",3.8,12.93621732,77.62229908
Happy Belly Restaurant,"Chinese, Thai",700," Yelahanka, Bangalore",3.8,13.059427,77.592649
Sri Thirumala Deluxe Family Restaurant,"Andhra, Chinese, North Indian",900," Yelahanka, Bangalore",3.8,13.09092849,77.59376708
Kairali Restaurant,"Kerala, South Indian, Seafood, Biryani",200," Bellandur, Bangalore",3.8,12.928115,77.67931949
Thottathil Food House,"Kerala, South Indian, Biryani",300," BTM, Bangalore",3.8,12.92658633,77.61499107
Kadala Teera,"Seafood, Mangalorean",500," Sarjapur Road, Bangalore",3.8,12.89807223,77.67535049
Navya's,"Andhra, Biryani, North Indian, Chinese, Hyderabadi, Mughlai, Seafood",700," Bommanahalli, Bangalore",3.8,12.89243915,77.62863312
Gongura Biriyani House,"Andhra, Biryani, Seafood, Chinese",700," Nagawara, Bangalore",3.8,13.04191143,77.61583798
Venessa,"North Indian, Fast Food, Asian, Mughlai, Desserts",1200," BTM, Bangalore",3.8,12.918089,77.60829
The Spice Town,"BBQ, North Indian, Beverages",900," Rajarajeshwari Nagar, Bangalore",3.8,12.92912605,77.51432005
Achayyan's,"Kerala, South Indian",350," Indiranagar, Bangalore",3.8,12.96836909,77.64801577
Altaf Chillies Restaurant,"North Indian, Chinese, Mughlai, Rolls",300," Frazer Town, Bangalore",3.8,13.00374138,77.62286302
Sri Maruthi Miltry Hotel,"South Indian, Chinese",400," Rajajinagar, Bangalore",3.8,13.00024818,77.55255159
Crepito,"Pizza, Burger, Sandwich, Fast Food, Chinese, Street Food, Beverages, Desserts",600," Rajajinagar, Bangalore",3.8,12.99746973,77.54508164
Ice Cafe & Lassi Shop,"Beverages, Juices",200," BTM, Bangalore",3.8,12.9086906,77.60400038
Narthaki Family Restaurant,"North Indian, Mughlai",500," Majestic, Bangalore",3.8,12.97708105,77.57564507
Maharaja Biryani House,"Biryani, Andhra, North Indian, Beverages",700," Koramangala 8th Block, Bangalore",3.8,12.94360475,77.62106996
Adiga's,"South Indian, North Indian, Chinese, Street Food, Desserts, Ice Cream, Beverages",500," HSR, Bangalore",3.8,12.91158344,77.63240598
Shaap,"Kerala, Seafood",500," Indiranagar, Bangalore",3.8,12.96850469,77.64020048
Hari Super Sandwich,"Sandwich, Fast Food",200," BTM, Bangalore",3.8,12.912486,77.606404
The Fast Food,South Indian,150," Malleshwaram, Bangalore",3.8,13.00872415,77.56312318
The Fast Food,South Indian,150," Malleshwaram, Bangalore",3.8,13.00872415,77.56312318
Hotel Prakruthi,South Indian,350," Vijay Nagar, Bangalore",3.8,12.97232406,77.54091684
Bogineni Black,"Cafe, Fast Food",500," Whitefield, Bangalore",3.8,13.01017718,77.7590666
Udupi Kitchen,"South Indian, Chinese, Street Food, Desserts, Beverages",300," Vijay Nagar, Bangalore",3.8,12.971652,77.53774412
From Hill To Station,"Cafe, Coffee, Fast Food, Desserts",500," Hennur, Bangalore",3.8,13.06014181,77.65310694
Udupi Upahar,"North Indian, South Indian, Chinese, Beverages",300," JP Nagar, Bangalore",3.8,12.90429441,77.58579925
Taaza Mithai,"Mithai, Street Food",100," JP Nagar, Bangalore",3.8,12.91413834,77.58585826
Momoz,"Chinese, Momos, Seafood",500," Kammanahalli, Bangalore",3.8,13.01525063,77.6310575
Tripti Hotel & Restaurant,"North Indian, Bengali",300," New BEL Road, Bangalore",3.8,13.0335091,77.5663942
Majaa Thindi,South Indian,100," New BEL Road, Bangalore",3.8,13.06881919,77.55770143
Chicano,"Fast Food, Pizza",450," Frazer Town, Bangalore",3.8,13.00303118,77.59669706
S.M.S.Evening Fast Food,"Hyderabadi, Chinese, North Indian",300," Varthur Main Road, Whitefield, Bangalore",3.8,12.9568295,77.7425947
Prashanth Naati Corner,"South Indian, Biryani",300," Yelahanka, Bangalore",3.8,13.09347142,77.58266207
Food Manthra,"North Indian, Chinese, Biryani, Rolls",300," Ulsoor, Bangalore",3.8,12.97548832,77.62262095
Maach Misti And More,"North Indian, Bengali, Seafood, Desserts",500," BTM, Bangalore",3.8,12.90727,77.607338
Urban Chulha,"North Indian, Street Food",300," Kammanahalli, Bangalore",3.8,13.01984315,77.64031682
Winni- Cakes & More,"Bakery, Desserts, Fast Food, Beverages",400," RT Nagar, Bangalore",3.8,13.02399263,77.59282261
Kabab King Restaurant,"Chinese, North Indian",300," Banashankari, Bangalore",3.8,12.9171417,77.5688637
Delhi Mess & Restaurant,"North Indian, Chinese, Mughlai",300," Hesaraghatta, Bangalore",3.8,13.08327864,77.48431016
The Kebab Terminal,"North Indian, Mughlai, Kebab, Fast Food",350," Jakkur, Bangalore",3.8,13.09171714,77.65463546
Divyasree Andhra Style Hotel,Andhra,250," CV Raman Nagar, Bangalore",3.8,12.98461266,77.67935604
Hotel Manu,"Andhra, North Indian, Chinese, Biryani",550," Whitefield, Bangalore",3.8,13.002528,77.757083
Hyderabadi Bawarchi,"Biryani, North Indian, Chinese, Mughlai, Seafood",800," Hebbal, Bangalore",3.8,13.0520172,77.6040421
Hyderabadi Biryani Utsav,"Biryani, Hyderabadi, North Indian, Chinese",600," Old Madras Road, Bangalore",3.8,12.99512215,77.66630072
Kasol Cafe,"Bengali, Continental",200," Indiranagar, Bangalore",3.8,12.968678,77.644152
Hoysala Darshini,"South Indian, North Indian, Chinese",400," Kengeri, Bangalore",3.8,12.92461389,77.48521272
Bengali Delicious,"Bengali, North Indian, Chinese, Kebab, Biryani, Beverages",500," Rajarajeshwari Nagar, Bangalore",3.8,12.91718929,77.49983009
Cafe Rossini,"Continental, Italian, Chinese",700," New BEL Road, Bangalore",3.8,13.02736725,77.5766271
Great Room - Holiday Inn Express & Suites,"North Indian, Chinese, Continental, Desserts, Beverages",1200," KR Puram, Bangalore",3.8,13.054937,77.762861
Garden Fresh,"Juices, Healthy Food, Salad, Beverages",200," BTM, Bangalore",3.8,12.91261678,77.61003569
Biryani Pot,"Biryani, North Indian, Chinese, Hyderabadi, Andhra, Wraps",200," Bellandur, Bangalore",3.8,12.9419458,77.70203646
Galaxy Restaurant,"North Indian, Chinese, Arabian, Kerala, Biryani",650," KR Puram, Bangalore",3.8,13.02256647,77.69661672
Bathinda Station,"North Indian, Chinese",700," HSR, Bangalore",3.8,12.91853861,77.65160356
Ayodhya Grand,"North Indian, South Indian, Chinese, Maharashtrian, Street Food, Desserts, Ice Cream, Beverages",550," Nagarbhavi, Bangalore",3.8,12.98003354,77.51076881
Alter Ego D'Deli,"Cafe, Salad, Italian, American, Sandwich, Burger, Beverages, Healthy Food",900," Nagawara, Bangalore",3.8,13.04100674,77.62029797
Suzy Q By 1522,"Asian, Seafood, Street Food, Pizza, North Indian, Chinese, Desserts",1000," Cunningham Road, Bangalore",3.7,12.98395108,77.5967668
GFC Biryani,"Biryani, Kebab, Tamil",300," Rajarajeshwari Nagar, Bangalore",3.7,12.90282508,77.52101518
Tycoons - Fine Dine & Retro Bar,"Continental, North Indian, Chinese, Asian, Mughlai, Desserts, Beverages",1300," Indiranagar, Bangalore",3.7,12.97020288,77.63837874
Happy Brew Bar & Kitchen,"Finger Food, North Indian, Asian, European",1500," Koramangala 5th Block, Bangalore",3.7,12.93370697,77.61504763
The Rasaganga,"South Indian, North Indian, Street Food, Chinese, Beverages",500," Bellandur, Bangalore",3.7,12.92649157,77.67821006
The Cuboidal,"Fast Food, Beverages",500," BTM, Bangalore",3.7,12.91551023,77.60312464
Cholay,"North Indian, Gujarati, Maharashtrian",350," Koramangala 7th Block, Bangalore",3.7,12.93583141,77.61484858
Sri Balaji Tiffin Centre,"North Indian, Chinese",350," Banashankari, Bangalore",3.7,12.93542817,77.56062336
The Cafe Bar,"Fast Food, Sandwich, Beverages",200," Jayanagar, Bangalore",3.7,12.93244509,77.58355055
Carols Pastries & Bakers,"Bakery, Desserts",250," Rammurthy Nagar, Bangalore",3.7,13.01760619,77.6692431
FreshBake,Bakery,250," Electronic City, Bangalore",3.7,12.86998304,77.65880462
Arabian Mataam,"Arabian, North Indian, Mughlai",700," Frazer Town, Bangalore",3.7,13.00041447,77.61777252
Pragnya Sagar,"South Indian, Beverages, Chinese, North Indian",300," HSR, Bangalore",3.7,12.89887293,77.65842207
The Langford Cafe,"Cafe, Beverages, Fast Food, Desserts, Wraps",400," Langford Town, Bangalore",3.7,12.9622876,77.59557517
Bangalore Tiffin Fusion (BTF),"North Indian, Fast Food",250," Whitefield, Bangalore",3.7,12.98126458,77.74773393
Phantom Cafe,"Cafe, Italian, Fast Food, Beverages",400," Koramangala 4th Block, Bangalore",3.7,12.93522198,77.62479253
Le Bistro,"European, Lebanese",1200," UB City, Bangalore",3.7,12.97184052,77.59628568
Ambur Star Briyani ® Since 1890,"Biryani, South Indian, Chinese, Chettinad, North Indian",600," JP Nagar, Bangalore",3.7,12.90349798,77.5857275
Shawarma Time,"Lebanese, Rolls, Fast Food",200," RT Nagar, Bangalore",3.7,13.02659799,77.59064063
Hook Hap,"Continental, Chinese, Fast Food, Beverages",600," Indiranagar, Bangalore",3.7,12.96690708,77.64156288
The Döner Company,"Lebanese, Wraps, Fast Food, Salad, Healthy Food, Rolls, Beverages",500," Koramangala 5th Block, Bangalore",3.7,12.93451322,77.6231879
Snack Bar,"Fast Food, Sandwich, Ice Cream, Beverages",300," Vijay Nagar, Bangalore",3.7,12.964648,77.53377579
New SBFC Food Funda,Fast Food,300," Frazer Town, Bangalore",3.7,13.008583,77.612184
Wow Pizza,"Pizza, Fast Food",400," Jalahalli, Bangalore",3.7,13.0631988,77.50080407
The Deagh,"Mughlai, North Indian, Chinese, Rolls",400," Frazer Town, Bangalore",3.7,13.00055919,77.61480734
The Deagh,"Mughlai, North Indian, Chinese, Rolls",400," Frazer Town, Bangalore",3.7,13.00055919,77.61480734
Flavours Of Ari,"Chinese, Rolls, Arabian, North Indian, Beverages, Pasta, Sandwich, Lebanese",400," HSR, Bangalore",3.7,12.91303377,77.65355386
Kailash Parbat,"Chinese, North Indian, Street Food, Fast Food, Desserts, Beverages",1100," Sadashiv Nagar, Bangalore",3.7,13.00748,77.57986
The Southern Soul,"South Indian, Mangalorean, Beverages",650," Koramangala 7th Block, Bangalore",3.7,12.93622476,77.61468304
Hotel Baaduta,"Biryani, South Indian",300," Jalahalli, Bangalore",3.7,13.05018314,77.51619156
Maggie Break,Fast Food,150," Rajarajeshwari Nagar, Bangalore",3.7,12.90299665,77.51744986
Robot Restaurant,"Chinese, Thai, North Indian, Seafood, Beverages, Desserts",1400," Indiranagar, Bangalore",3.7,12.96477967,77.64178164
GOPIZZA,"Pizza, Fast Food",300," Phoenix Marketcity Bangalore, Whitefield, Bangalore",3.7,12.99766,77.69714
LV Venkateshwara Jolada Rotti Oota,South Indian,300," Malleshwaram, Bangalore",3.7,12.99934491,77.57259071
Minatchi Mess,"Biryani, South Indian, Chinese, Seafood, Desserts",300," Sarjapur Road, Bangalore",3.7,12.8973846,77.70280123
Pratyush's Food Plaza,"Biryani, Odia, North Indian, Chinese, Fast Food",300," JP Nagar, Bangalore",3.7,12.8945733,77.58164283
Karim's Delhi 6,"Mughlai, North Indian",800," St. Marks Road, Bangalore",3.7,12.97217,77.600923
Bong Connection,"Chinese, North Indian, Bengali",550," Yeshwantpur, Bangalore",3.7,13.03006436,77.56236646
Uttara Karnataka Jolada Rotti Mattu Chapati Angadi,"South Indian, Street Food",200," Wilson Garden, Bangalore",3.7,12.9494411,77.5962438
The Naati Bar & Kitchen,"Biryani, South Indian, Seafood",650," Koramangala 6th Block, Bangalore",3.7,12.93612386,77.62177169
Self Love Cafeteria,"North Indian, Chinese, Biryani, Momos",500," Marathahalli, Bangalore",3.7,12.95110469,77.70480987
Shanti Tiffin House,Rajasthani,250," Rajajinagar, Bangalore",3.7,12.98847328,77.55844809
Bowl'd,"North Indian, Chinese",300," Marathahalli, Bangalore",3.7,12.95140988,77.70332359
Donne Biryani Hatti Mane,"Biryani, South Indian",300," Nagarbhavi, Bangalore",3.7,12.95899682,77.52476893
Red Panda-Chinese Food & Momos,Chinese,450," New BEL Road, Bangalore",3.7,13.03515323,77.568375
Bachelor Burgers,"Burger, Fast Food",500," Electronic City, Bangalore",3.7,12.87465308,77.65415266
Punjabi Dhaba,"North Indian, Chinese, Mughlai",500," Majestic, Bangalore",3.7,12.97914378,77.57672118
Trois,"North Indian, Mughlai, Chettinad, Asian, Beverages",1200," Koramangala 5th Block, Bangalore",3.7,12.93619379,77.62178812
Malleswaram Thatte Idly Cafe & By 2 Coffee Point,"South Indian, Beverages",300," Malleshwaram, Bangalore",3.7,13.00668506,77.56392181
India Chai Lounge,"Rolls, Fast Food, Beverages",300," Vasanth Nagar, Bangalore",3.7,12.98910577,77.5926248
Basaveshwar Khanavali,Mangalorean,600," Majestic, Bangalore",3.7,12.98011326,77.57560283
Quaranteens Cafe,"Fast Food, Ice Cream, Beverages",200," Kumaraswamy Layout, Bangalore",3.7,12.91140305,77.56699864
Hotel Vismaya,"South Indian, Andhra, Biryani, Mughlai, North Indian",400," Vijay Nagar, Bangalore",3.7,12.97656811,77.52253063
Tandoori Flames,"Chinese, Lebanese, North Indian",400," Rammurthy Nagar, Bangalore",3.7,13.01924863,77.6841753
Nam Egg Adda,Street Food,150," Rajajinagar, Bangalore",3.7,13.00437873,77.5394091
7th Heaven Cakes And Desserts,"Bakery, Desserts",400," JP Nagar, Bangalore",3.7,12.88487469,77.58264095
Just Punjabi,North Indian,450," Sarjapur Road, Bangalore",3.7,12.894346,77.677617
Kunafeci,"Desserts, Arabian",500," Koramangala 7th Block, Bangalore",3.7,12.9367442,77.6129773
L J Iyengar Bakery,"Bakery, Desserts, Fast Food",400," Jalahalli, Bangalore",3.7,13.05721249,77.54666984
Maruthi Davangere Benne Dosa,South Indian,150," Banashankari, Bangalore",3.7,12.92912736,77.54909456
Melt In Cafe,"Cafe, Italian, Continental",700," Mysore Road, Bangalore",3.7,12.762183,77.32906893
Shree Madhvas Upahara,South Indian,100," JP Nagar, Bangalore",3.7,12.88511165,77.58239686
Redbury Family Restaurant,"Kerala, North Indian, Chinese, Desserts, Beverages, Mughlai",900," Bannerghatta Road, Bangalore",3.7,12.88458904,77.60296538
Raju Gari Biryani,"Biryani, Andhra, Chinese, North Indian, Seafood",400," Bannerghatta Road, Bangalore",3.7,12.8764795,77.59634737
Uutopia Cafe,"Cafe, Fast Food, Desserts",750," Whitefield, Bangalore",3.7,12.96062,77.73255
Podhi Kitchen,"South Indian, Biryani",200," Kammanahalli, Bangalore",3.7,13.0190154,77.63524778
Curry Leaves,"Chinese, North Indian",400," Jayanagar, Bangalore",3.7,12.92299304,77.59710643
Biriyani Mane,"Biryani, Chinese, North Indian, Mughlai",600," Jayanagar, Bangalore",3.7,12.91682492,77.593119
Blytons,"Continental, Asian, Mughlai, Fast Food",1500," Sahakara Nagar, Bangalore",3.7,13.0637746,77.59014945
Hassan Keralapura Military Hotel,South Indian,400," Banashankari, Bangalore",3.7,12.92304729,77.55300052
Nandasree,"Andhra, Chinese, North Indian",800," KR Puram, Bangalore",3.7,13.0097688,77.7092453
Fit Pizza,"Pizza, Fast Food, Rolls",300," Jalahalli, Bangalore",3.7,13.06672605,77.50623185
Abhiruchi,"Andhra, Biryani, North Indian, Chinese, Seafood",650," Kammanahalli, Bangalore",3.7,13.01899841,77.63671696
Abhiruchi,"Andhra, Biryani, North Indian, Chinese, Seafood",650," Kammanahalli, Bangalore",3.7,13.01899841,77.63671696
Rana Vada Pav,"Street Food, Fast Food, North Indian, Pasta",250," BTM, Bangalore",3.7,12.90864354,77.60645393
New Chawla Chicken,"North Indian, Chinese",600," BTM, Bangalore",3.7,12.90868589,77.6064016
Nammura Naati Mane,"South Indian, Biryani",400," Sanjay Nagar, Bangalore",3.7,13.0274324,77.5763795
Mashed Potatoes,"North Indian, Continental, Fast Food",400," Whitefield, Bangalore",3.7,12.9809824,77.7578181
Bombay Dine,"Chinese, North Indian",350," Jalahalli, Bangalore",3.7,13.08388541,77.48385988
Homely Meal Box,"North Indian, Chinese, Biryani",500," Whitefield, Bangalore",3.7,12.95425779,77.72097118
Amata,"Cafe, North Indian, Continental, Burger, Sandwich, Coffee, Beverages, Desserts",500," HSR, Bangalore",3.7,12.91267854,77.64465462
Sukh Sagar Food Court,"Chinese, Street Food, Fast Food, Ice Cream, Desserts, Beverages",300," Majestic, Bangalore",3.7,12.97654949,77.57785052
Guntoor Mirchi,"Andhra, Biryani, North Indian, Chinese",800," ITPL Main Road, Whitefield, Bangalore",3.7,12.98945043,77.72808809
Bun World,"Bakery, Fast Food, Beverages",250," Malleshwaram, Bangalore",3.7,13.00895596,77.56293488
Kunafa World,Desserts,300," New BEL Road, Bangalore",3.7,13.02849091,77.57177833
Chole Bhatura And Parathas,North Indian,400," BTM, Bangalore",3.7,12.916686,77.606264
Ambara Gardenia,"Andhra, North Indian, Chinese, Seafood, Desserts, Beverages",850," Bannerghatta Road, Bangalore",3.7,12.89408209,77.61095267
Wat-A-Burger - India Ka Burger,"Burger, Fast Food, Beverages, Sandwich, Wraps",500," Jayanagar, Bangalore",3.7,12.92219242,77.59348612
Udupi Gardenia ,"South Indian, North Indian, Ice Cream, Beverages, Juices, Chinese",400," Mysore Road, Bangalore",3.7,12.90028836,77.46665619
Shahi Taj,"Rolls, Chinese, North Indian, Mughlai",800," Peenya, Bangalore",3.7,13.0438,77.51159
Srinidhi Upachar,"South Indian, Chinese",300," Electronic City, Bangalore",3.7,12.81460537,77.69185714
Sri Dalma,"Bengali, Odia",500," HSR, Bangalore",3.7,12.92412698,77.65039355
Pattikattan Biriyani,"Biryani, South Indian",300," Electronic City, Bangalore",3.7,12.84187731,77.64818206
Big Cup Cafe,"Cafe, Fast Food, Ice Cream, Beverages, Desserts",600," New BEL Road, Bangalore",3.7,13.028233,77.571188
Hotel Malnad Natti Style,"South Indian, Seafood",500," Nagarbhavi, Bangalore",3.7,12.96034461,77.51253169
Mint Masala,"Chinese, North Indian",650," Sadashiv Nagar, Bangalore",3.7,13.00687191,77.57880036
Guru Greens,"North Indian, Chinese, Seafood",600," Bannerghatta Road, Bangalore",3.7,12.85389481,77.58860987
Kerala Mess Upahar,"Kerala, Biryani, South Indian, Seafood",300," Bellandur, Bangalore",3.7,12.92595794,77.67789155
Swathi Restaurant,"North Indian, Chinese",650," Seshadripuram, Bangalore",3.7,12.98918516,77.57216491
Karavali Fish Magic,"South Indian, North Indian, Beverages",300," JP Nagar, Bangalore",3.7,12.90236362,77.58447826
Bhuvaneshwari Hotel,Hyderabadi,400," RT Nagar, Bangalore",3.7,13.02698115,77.58615296
Shivajinagar Gardi Ustad Pehlwan Kale Bhai Biryani,"North Indian, Mughlai",300," Shivajinagar, Bangalore",3.7,12.98553004,77.60181941
Kapital Kitchen,"Biryani, North Indian, Chinese, Hyderabadi",400," KR Puram, Bangalore",3.7,13.0145718,77.7094189
Willys Top Cafe,"Asian, Continental, Sandwich, Pizza, Pasta, Salad",750," Jayanagar, Bangalore",3.7,12.91649028,77.59316258
Donne Biryani Mane,"Biryani, South Indian",300," Hesaraghatta, Bangalore",3.7,13.0539379,77.50754915
